zip_code;city;lat;lng;ne_lat;ne_lng;sw_lat;sw_lng
21514;Wotersen;53.5106;10.6668;53.5663;10.7845;53.4433;10.5527
23883;Torfkaten;53.6147;10.8458;53.6536;10.9357;53.5415;10.6661
19243;Zühr;53.5084;11.0481;53.6077;11.2168;53.4153;10.9715
22959;Linau;53.6433;10.4671;53.6614;10.5045;53.6308;10.438
19288;Wöbbelin;53.3371;11.468;53.4533;11.6169;53.2561;11.2141
19230;Zapel;53.4019;11.2496;53.5279;11.4335;53.2874;11.0263
19306;Neustadt-Glewe;53.4005;11.6028;53.4832;11.6985;53.3281;11.5005
22397;Hamburg;53.6917;10.0975;53.7394;10.1936;53.6689;10.0603
22967;Tremsbüttel;53.7449;10.3078;53.7658;10.3468;53.7211;10.2826
23919;Rondeshagen;53.7268;10.6373;53.7697;10.6923;53.6776;10.5858
23847;Westerau;53.7459;10.484;53.8204;10.6335;53.6846;10.326
02829;Schöpstal;51.1752;14.8909;51.3014;15.0422;51.075;14.8151
02906;Waldhufen;51.2847;14.7059;51.3779;14.8659;51.1925;14.5334
15848;Werder;52.1511;14.149;52.3318;14.4703;52.0112;14.0058
14943;Wiesenhagen;52.0819;13.1771;52.2083;13.3195;52.0273;13.0803
14929;Treuenbrietzen;52.0646;12.8501;52.1871;13.0273;51.9791;12.6977
14979;Osdorf;52.3687;13.3165;52.4117;13.3884;52.3172;13.2403
14974;Wietstock;52.2781;13.2569;52.3427;13.3932;52.2187;13.1375
14195;Berlin;52.4533;13.2885;52.4752;13.313;52.4416;13.2559
13585;Berlin;52.5467;13.2068;52.5558;13.2229;52.5384;13.1911
16727;Velten;52.6814;13.1446;52.7628;13.2503;52.6304;12.9723
13467;Berlin;52.6142;13.3055;52.6283;13.3369;52.6007;13.2574
10115;Berlin;52.5326;13.3777;52.54;13.401;52.5237;13.3658
16766;Kremmen;52.7838;13.008;52.8973;13.2021;52.7032;12.8621
14662;Zootzen Damm;52.7396;12.6166;52.8109;12.7407;52.6245;12.5132
12351;Berlin;52.4327;13.4444;52.4445;13.4776;52.4236;13.435
15834;Theresenhof;52.2871;13.461;52.3218;13.5113;52.2561;13.3916
16909;Zootzen;53.1212;12.5153;53.2703;12.7185;53.0264;12.2909
19336;Viesecke;52.9499;11.96;53.0107;12.0459;52.8762;11.8327
16818;Zietenhorst;52.947;12.7134;53.0978;12.9867;52.6817;12.5301
16833;Walchow;52.7619;12.8119;52.8856;12.9319;52.6901;12.6464
19372;Ziegendorf;53.35;11.7816;53.494;11.9886;53.227;11.6218
16949;Triglitz;53.2363;12.0406;53.3243;12.1584;53.1771;11.9149
19376;Tessenow;53.3321;11.9593;53.4231;12.0657;53.2719;11.8153
12527;Berlin;52.3922;13.6291;52.4284;13.7382;52.3381;13.5541
15517;Fürstenwalde;52.368;14.0595;52.4265;14.149;52.3229;13.933
15299;Müllrose;52.1953;14.4055;52.3166;14.5296;52.0483;14.3136
15890;Vogelsang;52.165;14.561;52.2316;14.7054;52.0849;14.4201
21776;Wanna;53.7299;8.78895;53.7658;8.83557;53.6801;8.7102
27637;Nordholz;53.7661;8.59264;53.8225;8.71347;53.7321;8.51623
27472;Cuxhaven;53.8501;8.71613;53.8805;8.74825;53.8333;8.6807
26465;Langeoog;53.7474;7.49257;53.7592;7.63115;53.7201;7.46201
26571;Nordseeinsel Memmert;53.674;6.9487;53.6868;7.09827;53.6648;6.86393
26736;Krummhörn;53.46;7.11948;53.5381;7.21204;53.3521;7.01055
26486;Wangerooge;53.7892;7.90258;53.7949;7.97025;53.7737;7.84723
26624;Südbrookmerland;53.489;7.35694;53.5377;7.42019;53.3965;7.24055
26474;Spiekeroog;53.7738;7.76261;53.7823;7.81725;53.7496;7.66597
25365;Klein Offenseth-Sparrieshoop;53.7922;9.67977;53.835;9.72433;53.7741;9.64898
25485;Langeln;53.773;9.84693;53.8231;9.90155;53.7291;9.78947
25361;Süderau;53.8324;9.52029;53.8523;9.58624;53.7931;9.46579
25436;Uetersen;53.6834;9.67107;53.7245;9.78109;53.6516;9.57327
25576;Brokdorf;53.87;9.32221;53.8939;9.35737;53.84;9.25727
24629;Kisdorf;53.8114;10.0433;53.833;10.1133;53.7967;9.96057
23867;Sülfeld;53.795;10.2353;53.827;10.2699;53.7819;10.1923
24632;Lentföhrden;53.8653;9.8578;53.9005;9.97231;53.817;9.79364
25724;Schmedeswurth;53.9161;9.00699;53.9455;9.08376;53.8904;8.9419
25524;Oelixdorf;53.9367;9.5192;53.9613;9.62154;53.8887;9.42946
25594;Vaalermoor;53.9934;9.35731;54.0131;9.41244;53.9648;9.28772
19205;Webelsfelde;53.6773;11.1174;53.7947;11.2797;53.5966;10.9362
19071;Herren Steinfeld;53.6724;11.2853;53.7612;11.3361;53.5876;11.2088
19077;Uelitz;53.4628;11.4134;53.5466;11.4881;53.4111;11.3195
19061;Schwerin;53.5903;11.3978;53.6258;11.4808;53.5514;11.3556
19374;Zölkow;53.5239;11.7955;53.6257;11.9748;53.4234;11.6302
19089;Zapel;53.5778;11.6947;53.6634;11.8581;53.4611;11.5538
23829;Wittenborn;53.9064;10.2164;53.944;10.2538;53.8809;10.2019
23619;Zarpen;53.8733;10.5335;53.9204;10.6217;53.834;10.4244
23821;Rohlstorf;53.9681;10.3934;53.9846;10.4551;53.9434;10.347
23923;Zarnewenz;53.8319;10.8716;53.9245;11.0425;53.7796;10.7478
19217;Woitendorf;53.7417;10.8969;53.8399;11.1621;53.6837;10.7568
23611;Sielbek;53.931;10.6873;53.9533;10.7701;53.9006;10.6405
15236;Treplin;52.2934;14.4889;52.4113;14.6015;52.2473;14.3007
14806;Ziezow;52.1782;12.6006;52.2694;12.7535;52.0696;12.4343
12683;Berlin;52.4982;13.5582;52.535;13.5854;52.4726;13.5349
